address,subdistrict_code,BEDROOMS,BATHROOMS,SIZE,PROPERTY TYPE,avg_distance_to_nearest_station,nearest_station_count,rent
2770,207,4.0,2.0,,2,1.0,3,2700
1483,-1,1.0,1.0,,9,0.4,3,1600
2461,122,1.0,1.0,,9,1.3,3,1500
504,-1,1.0,1.0,410.0,0,0.3,3,4140
1849,84,1.0,1.0,,9,0.9,3,1395
946,-1,,1.0,360.0,24,0.5,3,1475
2055,-1,1.0,1.0,,9,0.7,3,1750
1681,-1,3.0,2.0,1151.0,9,0.4,3,3500
1196,-1,4.0,2.0,,14,0.6,3,4750
544,-1,3.0,,,0,0.5,3,2500
2652,-1,1.0,1.0,,9,0.4,3,1972
783,-1,1.0,1.0,,9,0.5,3,2700
2112,-1,3.0,3.0,1181.0,0,0.5,3,17333
1388,-1,2.0,2.0,,9,0.3,3,2999
1891,147,1.0,1.0,,9,0.8,3,2450
2162,159,1.0,1.0,,15,1.2,3,930
820,150,2.0,2.0,,9,0.5,3,3033
2878,-1,1.0,1.0,560.0,0,1.4,3,1185
1748,-1,2.0,1.0,,9,1.1,3,2300
151,-1,1.0,1.0,,9,1.8,3,1200
1466,-1,2.0,1.0,,9,0.2,3,3150
2388,195,3.0,3.0,,0,0.3,3,8000
229,-1,2.0,1.0,861.0,9,0.6,3,2200
165,-1,2.0,2.0,,25,0.7,3,2799
2531,-1,2.0,2.0,,0,0.7,3,1675
1628,-1,1.0,1.0,,0,0.5,3,1650
351,175,1.0,1.0,,0,1.4,3,1450
1172,90,4.0,2.0,4501.0,5,0.4,3,52000
126,129,3.0,3.0,,9,0.2,3,8880
1636,37,1.0,1.0,,0,0.3,3,2201
2002,81,2.0,1.0,710.0,0,0.4,3,2500
2022,-1,4.0,3.0,,25,0.4,3,14950
668,151,3.0,2.0,,9,0.4,3,5499
1886,150,5.0,4.0,1915.0,25,0.4,3,7000
1377,168,1.0,1.0,,0,1.3,3,1450
2874,-1,2.0,2.0,,9,0.7,3,4465
1070,2,3.0,2.0,,0,1.5,3,2350
228,-1,,1.0,,-1,0.7,3,1400
1767,39,2.0,2.0,,9,0.2,3,4500
108,45,2.0,2.0,,0,0.6,3,2500
839,123,5.0,3.0,,5,1.8,3,4990
1845,129,2.0,2.0,947.0,9,0.4,3,4247
277,42,3.0,3.0,,0,0.9,3,3500
237,209,3.0,2.0,,23,1.1,3,2500
2820,-1,2.0,1.0,,9,0.5,3,2000
632,149,1.0,1.0,35.0,9,0.4,3,2652
2518,130,2.0,1.0,,0,0.4,3,3000
2427,90,1.0,1.0,,0,0.5,3,2300
676,-1,4.0,1.0,,23,0.8,3,2535
1936,-1,1.0,1.0,,0,0.3,3,4117
1168,-1,3.0,2.0,2046.0,9,0.3,3,13628
534,-1,3.0,2.0,,5,0.7,3,3790
812,-1,3.0,3.0,,26,0.4,3,23833
2793,179,1.0,1.0,793.0,9,0.4,3,2650
2149,151,1.0,1.0,690.0,9,0.4,3,3000
1548,-1,1.0,1.0,,0,0.4,3,3683
648,-1,2.0,2.0,,9,0.3,3,4000
2816,206,1.0,1.0,,15,0.9,3,930
2194,-1,3.0,2.0,,9,0.4,3,3878
2215,-1,2.0,1.0,,0,0.7,3,1350
2807,-1,1.0,1.0,,0,0.2,3,2015
1071,121,5.0,3.0,,5,3.0,3,4500
81,140,2.0,2.0,957.0,9,0.3,3,4745
1732,-1,,1.0,,0,1.2,3,1195
811,81,3.0,2.0,,9,0.2,3,7000
2003,-1,3.0,1.0,,9,0.5,3,2950
2575,152,3.0,2.0,,0,0.3,3,6500
98,-1,1.0,1.0,,0,0.4,3,1798
1396,-1,2.0,2.0,625.0,0,0.7,3,2000
753,-1,2.0,,,9,0.3,3,4500
1734,-1,,1.0,,24,1.1,3,1176
1281,-1,2.0,1.0,,12,0.6,3,1800
81,140,2.0,2.0,957.0,9,0.3,3,4550
1733,-1,,1.0,,24,1.2,3,1230
2120,102,1.0,1.0,,0,0.4,3,1842
670,-1,2.0,1.0,,9,0.4,3,2999
1807,42,2.0,1.0,,25,0.6,3,2300
1177,150,1.0,1.0,,0,0.4,3,2817
469,180,2.0,2.0,,0,0.2,3,3800
1269,-1,2.0,2.0,708.0,0,0.5,3,2300
1088,-1,2.0,1.0,,0,0.9,3,1900
2405,-1,3.0,1.0,,5,1.1,3,2800
1732,-1,,1.0,,24,1.2,3,1220
2177,-1,2.0,1.0,,0,0.3,3,2851
2294,-1,1.0,1.0,,9,0.3,3,2920
1420,160,2.0,,,8,1.4,3,1650
1792,142,2.0,2.0,871.0,9,0.5,3,4199
340,178,2.0,2.0,,0,0.6,3,2600
547,44,2.0,,,4,2.0,3,1495
1143,174,1.0,1.0,586.0,0,0.6,3,1782
230,166,3.0,3.0,,0,0.6,3,3250
2413,85,1.0,1.0,,9,0.2,3,1950
1855,173,2.0,1.0,,9,1.7,3,1695
908,60,1.0,1.0,582.0,0,0.5,3,1750
2707,152,1.0,1.0,687.0,9,0.3,3,3235
2862,-1,2.0,2.0,,9,0.3,3,5499
2593,174,2.0,2.0,916.0,0,0.6,3,2317
2027,53,1.0,,,-1,0.2,2,875
2707,152,2.0,2.0,966.0,9,0.3,3,3399
2127,68,2.0,1.0,,9,0.6,3,1900
2379,-1,4.0,2.0,,5,1.6,3,3500
665,-1,1.0,1.0,,0,0.8,3,2700
1735,176,,1.0,399.0,24,1.2,3,1176
858,-1,,,,24,0.4,3,1500
2294,-1,2.0,2.0,,9,0.3,3,3300
1191,81,1.0,1.0,,0,0.4,3,2300
892,143,2.0,2.0,,0,0.4,3,9512
907,147,1.0,1.0,,0,0.4,3,3445
2254,-1,2.0,2.0,,9,0.6,3,1925
4,-1,1.0,1.0,,0,0.7,3,1850
895,142,4.0,3.0,,25,0.4,3,11050
2629,162,1.0,1.0,,9,0.5,3,1600
976,120,1.0,1.0,,0,1.5,3,1450
72,171,1.0,1.0,,0,1.4,3,1750
2707,152,2.0,2.0,938.0,9,0.3,3,3499
2706,-1,4.0,2.0,,23,0.4,3,3500
507,84,2.0,1.0,635.0,9,0.5,3,2250
1325,-1,1.0,1.0,,0,0.6,3,2000
1017,-1,,1.0,189.0,24,0.5,3,1395
2660,172,3.0,2.0,,23,1.6,3,2400
2234,140,2.0,1.0,524.0,0,0.4,3,2817
191,159,3.0,1.0,,6,1.3,3,2500
96,-1,1.0,1.0,258.0,9,0.8,3,850
1324,-1,4.0,2.0,,0,0.3,3,4000
2420,84,2.0,1.0,,9,0.3,3,2700
2054,52,3.0,2.0,,9,0.7,3,2300
284,86,1.0,1.0,,9,0.8,3,1100
101,-1,4.0,2.0,,9,0.2,3,3650
2409,-1,1.0,,363.0,9,0.3,3,2492
780,84,1.0,1.0,,12,0.4,3,1582
2707,152,2.0,2.0,1089.0,9,0.3,3,3649
1084,-1,3.0,2.0,,8,1.0,3,2250
2196,150,2.0,2.0,,0,0.6,3,3012
192,-1,1.0,1.0,,0,0.3,3,1700
835,47,3.0,1.0,,23,0.6,3,2300
127,74,,1.0,,24,0.5,3,1192
591,-1,2.0,2.0,,0,0.5,3,2750
1123,-1,2.0,1.0,,9,1.3,3,2000
2867,-1,2.0,2.0,,0,0.3,3,7367
1286,70,1.0,1.0,,9,0.3,3,1350
1689,150,2.0,2.0,,0,0.6,3,3501
149,-1,3.0,1.0,,23,0.7,3,2100
583,-1,2.0,2.0,922.0,5,0.5,3,5482
990,-1,2.0,2.0,,0,0.3,3,2950
1297,-1,2.0,1.0,,0,0.6,3,2500
422,-1,1.0,1.0,,0,0.5,3,1825
256,87,2.0,1.0,87.0,18,0.3,3,2145
1360,-1,2.0,2.0,,0,0.3,3,3467
2585,129,1.0,1.0,,9,0.4,3,3012
924,-1,2.0,1.0,,0,0.4,3,2100
1074,-1,2.0,1.0,650.0,0,0.3,3,5090
1932,-1,1.0,1.0,580.0,9,0.5,3,1845
78,37,1.0,1.0,,9,0.3,3,1775
589,-1,2.0,2.0,,9,0.3,3,5599
2192,122,4.0,2.0,,25,1.4,3,1950
122,-1,2.0,2.0,,9,0.2,3,3800
424,81,3.0,2.0,,9,0.3,3,4550
2065,180,1.0,2.0,,10,0.4,3,850
435,158,3.0,2.0,759.0,25,1.1,3,2000
1125,53,3.0,1.0,,23,0.4,2,2450
702,84,3.0,2.0,,0,0.4,3,5975
570,148,2.0,1.0,,9,0.3,3,3250
1795,-1,3.0,2.0,1324.0,0,0.5,3,6050
2701,82,4.0,2.0,,25,0.5,3,4996
1400,-1,2.0,2.0,929.0,0,0.5,3,5480
